Timestamp, Scenario, Location, Video, Overlay
1635334854235, 0, 2, 41, 42;43
1635334854235, 0, 2, 41, 43
1635334854235, 0, 2, 41, 
1635334854235, 0, 20, 41, 
1635334854235, 0, 20, 21, 43
1635592661935, , , , 42;43
1635592661935, , , , 42;43
1635592661935, 0, 2, 41, 42;43
1635620862616, 0, 20, 21, 43
1635620862616, 0, 20, 21, 42;43
1635627184613, 0, 20, 21, 43
