overlay_id,name,description,tags,type,url,w,h,x,y,z,d,rx,ry,rz
o_1,Münster Marketing & Stadwerke,Brand advertisement,[],image,/media/images/display1.gif,1417,873,561.9906416454288,299.3003351341884,-646.8748621420448,0,0,0,0
o_2,Movie advertisement,Movie advertisement (Looper),[],image,/media/images/display_looper.gif,357,500,305.33880760560027,94.87683266519059,69,0,0,0.17576139977127267,0
o_3,News,Uni Muenster Homepage,[],html,http://www.uni-muenster.de/de/,700,575,547.6430973457741,323.2137010950475,-228.65846681625413,0,0,0,
