child,parent
l_13,l_12
l_17,l_16
l_24,l_23
l_25,l_23
l_26,l_23
l_27,l_23
l_28,l_23
l_29,l_23
l_30,l_23
l_31,l_23
l_32,l_23
l_33,l_23
