child_location_uuid,parent_location_uuid
l_10_01,l_10
l_20_01,l_20
l_20_02,l_20
l_22_01,l_22
l_22_02,l_22
l_22_03,l_22
l_22_04,l_22
l_22_05,l_22
l_22_06,l_22
l_22_07,l_22
l_22_08_a,l_22
l_22_08_b,l_22
l_22_09,l_22
l_22_10,l_22
